ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
259,Espagne,en,26,0,4,10,100,0,0,F
260,France,fr,22,21,0,10,100,0,0,M
261,Italie,it,21,12,7,10,80,0,0,M
262,Etats-Unis,en,16,0,14,10,100,0,0,F
263,Italie,it,15,3,2,10,90,0,0,F
264,Italie,it,13,11,9,10,70,0,0,F
265,France,fr,13,0,9,10,100,0,0,F
266,France,fr,13,0,15,10,100,3,0,F
267,Royaume-Uni,en,12,0,7,10,75,0,0,F
268,Royaume-Uni,en,12,0,3,10,90,0,0,F
269,Chypre,en,12,1,8,10,90,3,0,F
270,France,fr,12,15,17,10,100,0,0,M
271,France,fr,12,0,0,10,100,0,0,F
272,Espagne,es,11,76,3,10,80,8,1,F
273,Royaume-Uni,en,11,2,0,10,72.7,3,1,F
274,Espagne,es,10,35,8,10,100,14,0,F
275,France,fr,10,4,0,10,70,0,0,M
276,Italie,it,10,70,5,10,90,1,0,F
277,France,fr,10,3,26,10,0,155,30,F
278,France,en,9,0,5,10,100,0,0,F
279,Royaume-Uni,en,9,0,2,10,83,0,0,F
280,Etats-Unis,en,9,0,10,10,100,0,0,F
281,Italie,it,8,6,3,10,90,7,2,F
282,France,fr,7,0,1,10,60,0,0,F
283,Italie,it,46,274,22,9,88,47,0,M
284,Gr??ce,en,38,166,7,9,77,16,6,F
285,Etats-Unis,en,36,3,0,9,100,1,0,M
286,Italie,en,31,0,5,9,88,0,0,M
287,France,fr,26,1,0,9,53,0,0,M
288,Portugal,en,25,58,4,9,80,11,0,F
289,Pays-Bas,en,22,432,3,9,70,181,37,F
290,Italie,it,21,61,5,9,66,170,1,F
291,Italie,it,20,1,2,9,77,0,0,F
292,Italie,it,17,49,0,9,77,21,12,M
293,Etats-Unis,en,16,0,25,9,100,0,0,F
294,Royaume-Uni,en,15,57,55,9,77,6,10,F
295,France,fr,14,0,6,9,55,0,2,F
296,Royaume-Uni,en,13,1,6,9,100,0,0,F
297,France,fr,13,1,1,9,100,0,0,F
298,France,fr,12,1,10,9,100,0,0,F
299,Espagne,es,11,0,1,9,88,0,0,F
300,France,fr,11,1,10,9,100,0,0,F
301,Espagne,es,11,1,4,9,50,0,0,M
302,Croatie,en,10,7,8,9,50,6,2,F
303,Bulgarie,en,10,0,11,9,88,0,0,F
304,Australie,en,10,339,0,9,88,31,14,F
305,Etats-Unis,en,10,0,5,9,100,0,0,F
306,Espagne,en,9,3,2,9,88,0,0,M
307,Russie,en,9,34,3,9,77,1,0,F
308,France,fr,9,0,8,9,88,0,0,F
309,Pays-Bas,en,9,59,5,9,90,7,1,F
310,France,fr,9,62,8,9,100,10,1,F
311,Su??de,en,8,0,2,9,88,0,0,F
312,Italie,it,8,50,2,9,100,1,0,M
313,Pays-Bas,en,8,38,3,9,77,1,3,M
314,Finlande,en,8,32,0,9,77,4,13,F
315,France,fr,7,14,0,9,88,0,1,M
316,Royaume-Uni,en,7,0,2,9,90,0,0,F
317,Autriche,de,7,102,8,9,100,222,28,F
318,France,fr,7,10,1,9,100,0,0,M
319,France,fr,7,2,8,9,66,0,0,F
320,Italie,it,6,20,6,9,88,10,0,F
321,France,fr,5,12,0,9,60,1,0,F
322,Espagne,es,5,1,7,9,66,3,0,F
323,Royaume-Uni,en,5,1,0,9,100,0,0,F
324,France,fr,4,4,1,9,100,0,1,F
325,Etats-Unis,en,43,894,3,8,62.5,290,174,F
326,France,fr,25,30,1,8,87,4,28,F
327,Pays-Bas,en,22,0,4,8,87,0,0,F
328,Royaume-Uni,en,17,0,6,8,100,0,0,F
329,Royaume-Uni,en,14,4,4,8,87,0,0,F
330,France,fr,14,46,8,8,62,139,3,F
331,Italie,it,14,1,3,8,62,0,0,F
332,Italie,it,13,40,14,8,62,0,0,F
333,Royaume-Uni,en,13,0,1,8,87,0,0,F
334,Italie,it,12,6,1,8,100,5,0,F
335,France,fr,12,0,1,8,100,0,0,F
